grade,caster.id,stand.id,force,avg.width,temperature,entry.gauge,exit.gauge,roller.diameter
Grade01,S,F2,2799.967,62.0886,1769.72,0.767589,0.4800599,757.1725
Grade01,S,F3,1958.855,62.0886,1730.149,0.4800599,0.3336811,640.1703
Grade01,S,F4,1574.872,62.0886,1687.578,0.3336811,0.2567993,665.8711
Grade01,S,F5,1100.799,62.0886,1643.967,0.2567993,0.2126949,594.977
Grade01,S,F1,3079.662,62.0547,1820.699,1.214915,0.7619992,799.5943
Grade01,S,F2,2799.783,62.0547,1776.505,0.7619992,0.4745879,757.1725
Grade01,S,F3,1984.464,62.0547,1737.329,0.4745879,0.3277591,640.1703
Grade01,S,F4,1578.652,62.0547,1695.465,0.3277591,0.2515135,665.8711
Grade01,S,F5,1110.526,62.0547,1652.265,0.2515135,0.2076061,594.977
Grade01,S,F1,3131.188,61.9192,1816.981,1.215641,0.7548367,799.5943
Grade01,S,F2,2813.26,61.9192,1772.413,0.7548367,0.4669262,757.1725
Grade01,S,F3,2003.378,61.9192,1732.561,0.4669262,0.3219207,640.1703
Grade01,S,F4,1600.715,61.9192,1689.867,0.3219207,0.245737,665.8711
Grade01,S,F5,1110.986,61.9192,1645.857,0.245737,0.2025692,594.977
Grade01,S,F1,3115.599,61.8571,1815.066,1.215263,0.756082,799.5943
Grade01,S,F2,2815.67,61.8571,1771.473,0.756082,0.4678559,757.1725
Grade01,S,F3,1986.497,61.8571,1732.593,0.4678559,0.3213108,640.1703
Grade01,S,F4,1579.354,61.8571,1690.651,0.3213108,0.2454394,665.8711
Grade01,S,F5,1107.059,61.8571,1647.393,0.2454394,0.2024443,594.977
Grade01,S,F1,3106.571,61.8433,1817.359,1.21349,0.7519196,799.5943
Grade01,S,F2,2810.126,61.8433,1772.936,0.7519196,0.4624561,757.1725
Grade01,S,F3,1987.979,61.8433,1733.248,0.4624561,0.3163095,640.1703
Grade01,S,F4,1596.414,61.8433,1690.819,0.3163095,0.2404475,665.8711
Grade01,S,F5,1119.241,61.8433,1647.106,0.2404475,0.1976156,594.977
Grade01,S,F1,3255.957,61.8785,1813.27,1.213889,0.7272647,799.5943
Grade01,S,F2,2938.806,61.8785,1770.979,0.7272647,0.4313612,757.1725
Grade01,S,F3,2123.949,61.8785,1733.222,0.4313612,0.2864836,640.1703
Grade01,S,F4,1733.966,61.8785,1692.807,0.2864836,0.212351,665.8711
Grade01,S,F5,1177.29,61.8785,1650.837,0.212351,0.1721821,594.977
Grade01,S,F1,3289.692,61.8478,1809.355,1.215467,0.7225903,799.5943
Grade01,S,F2,2957.365,61.8478,1766.833,0.7225903,0.4250081,757.1725
Grade01,S,F3,2101.634,61.8478,1728.755,0.4250081,0.2833729,640.1703
Grade01,S,F4,1738.431,61.8478,1687.818,0.2833729,0.2104469,665.8711
Grade01,S,F5,1128.608,61.8478,1645.099,0.2104469,0.1719768,594.977
Grade01,S,F1,3296.94,61.7299,1829.406,1.202527,0.697865,799.5943
Grade01,S,F2,3007.173,61.7299,1786.128,0.697865,0.3984888,757.1725
Grade01,S,F3,2109.604,61.7299,1747.407,0.3984888,0.2627206,640.1703
Grade01,S,F4,1711.609,61.7299,1705.361,0.2627206,0.1942918,665.8711
Grade01,S,F5,1173.625,61.7299,1661.591,0.1942918,0.1568434,594.977
Grade01,S,F1,3254.762,61.7416,1828.529,1.20197,0.6959591,799.5943
Grade01,S,F2,3004.515,61.7416,1784.116,0.6959591,0.3984543,757.1725
Grade01,S,F3,2105.57,61.7416,1744.749,0.3984543,0.2624344,640.1703
Grade01,S,F4,1687.904,61.7416,1701.849,0.2624344,0.1944713,665.8711
Grade01,S,F5,1194.659,61.7416,1657.314,0.1944713,0.1570363,594.977
Grade01,S,F1,3354.082,61.7445,1827.274,1.20319,0.6806669,799.5943
Grade01,S,F2,3044.531,61.7445,1782.335,0.6806669,0.388176,757.1725
Grade01,S,F3,2139.145,61.7445,1742.411,0.388176,0.2548104,640.1703
Grade01,S,F4,1746.591,61.7445,1698.684,0.2548104,0.1882737,665.8711
Grade01,S,F5,1206.529,61.7445,1653.566,0.1882737,0.1519988,594.977
Grade01,S,F1,3291.654,61.7708,1822.162,1.149958,0.6510856,799.5943
Grade01,S,F2,3034.331,61.7708,1777.615,0.6510856,0.3715703,757.1725
Grade01,S,F3,2114.968,61.7708,1738.208,0.3715703,0.2440799,640.1703
Grade01,S,F4,1735.185,61.7708,1694.263,0.2440799,0.1811835,665.8711
Grade01,S,F5,1169.89,61.7708,1648.745,0.1811835,0.146916,594.977
Grade01,S,F1,3317.751,61.7661,1822.973,1.149895,0.643257,799.5943
Grade01,S,F2,3050.018,61.7661,1777.222,0.643257,0.3646705,757.1725
Grade01,S,F3,2149.115,61.7661,1736.641,0.3646705,0.2369857,640.1703
Grade01,S,F4,1737.79,61.7661,1692.192,0.2369857,0.1752691,665.8711
Grade01,S,F5,1154.468,61.7661,1645.415,0.1752691,0.1417543,594.977
Grade01,S,F1,3179.466,61.7794,1838.245,1.144598,0.6412243,799.5943
Grade01,S,F2,2911.938,61.7794,1796.329,0.6412243,0.3667499,757.1725
Grade01,S,F3,2074.097,61.7794,1759.474,0.3667499,0.2384548,640.1703
Grade01,S,F4,1687.387,61.7794,1718.784,0.2384548,0.1772946,665.8711
Grade01,S,F5,1228.167,61.7794,1677.04,0.1772946,0.1413496,594.977
Grade01,S,F1,3539.431,61.8519,1821.796,1.097575,0.5743071,799.5943
Grade01,S,F2,3216.305,61.8519,1776.984,0.5743071,0.3134843,757.1725
Grade01,S,F3,2234.473,61.8519,1737.617,0.3134843,0.1998552,640.1703
Grade01,S,F4,1923.254,61.8519,1693.336,0.1998552,0.1459223,665.8711
Grade01,S,F5,1279.007,61.8519,1647.526,0.1459223,0.1164595,594.977
Grade01,S,F1,3435.917,60.7036,1833.484,1.146593,0.6087719,799.5943
Grade01,S,F2,3006.221,60.7036,1788.417,0.6087719,0.3367096,757.1725
Grade01,S,F3,2119.617,60.7036,1746.929,0.3367096,0.2170745,640.1703
Grade01,S,F4,1755.807,60.7036,1701.65,0.2170745,0.161343,665.8711
Grade01,S,F5,1143.797,60.7036,1654.48,0.161343,0.131471,594.977
Grade01,S,F1,3039.188,60.5514,1842.463,1.19991,0.6892592,799.5943
Grade01,S,F2,2870.626,60.5514,1795.417,0.6892592,0.3935902,757.1725
Grade01,S,F3,1891.38,60.5514,1752.188,0.3935902,0.2668349,640.1703
Grade01,S,F4,1543.318,60.5514,1704.264,0.2668349,0.2027873,665.8711
Grade01,S,F5,1109.337,60.5514,1655.98,0.2027873,0.1667352,594.977
Grade01,S,F1,2969.774,60.5515,1838.552,1.200046,0.7068851,799.5943
Grade01,S,F2,2839.607,60.5515,1791.887,0.7068851,0.4073138,757.1725
Grade01,S,F3,1989.377,60.5515,1749.585,0.4073138,0.2705104,640.1703
Grade01,S,F4,1583.965,60.5515,1703.735,0.2705104,0.2044621,665.8711
Grade01,S,F5,1116.045,60.5515,1656.398,0.2044621,0.1670277,594.977
Grade01,S,F1,3024.853,60.5602,1837.142,1.201551,0.7058502,799.5943
Grade01,S,F2,2854.798,60.5602,1789.575,0.7058502,0.4062036,757.1725
Grade01,S,F3,1995.325,60.5602,1746.608,0.4062036,0.2703563,640.1703
Grade01,S,F4,1621.712,60.5602,1699.969,0.2703563,0.2041928,665.8711
Grade01,S,F5,1103.9,60.5602,1651.922,0.2041928,0.1672057,594.977
Grade01,S,F1,3041.813,60.541,1833.984,1.202817,0.7021814,799.5943
Grade01,S,F2,2858.177,60.541,1787.648,0.7021814,0.4043864,757.1725
Grade01,S,F3,1982.919,60.541,1746.009,0.4043864,0.2699222,640.1703
Grade01,S,F4,1620.815,60.541,1700.279,0.2699222,0.2041254,665.8711
Grade01,S,F5,1102.308,60.541,1653.313,0.2041254,0.1671114,594.977
Grade01,S,F1,3197.474,60.591,1830.653,1.150523,0.6382549,799.5943
Grade01,S,F2,2985.179,60.591,1785.853,0.6382549,0.3556013,757.1725
Grade01,S,F3,2123.105,60.591,1746.056,0.3556013,0.230634,640.1703
Grade01,S,F4,1807.594,60.591,1702.1,0.230634,0.1709931,665.8711
Grade01,S,F5,1188.417,60.591,1656.605,0.1709931,0.1377209,594.977
Grade01,S,F1,2548.984,60.1467,1824.078,1.098607,0.7115878,799.5943
Grade01,S,F2,2219.604,60.1467,1773.342,0.7115878,0.467946,757.1725
Grade01,S,F3,1712.767,60.1467,1727.107,0.467946,0.343262,616.476
Grade01,S,F4,1342.841,60.1467,1680.108,0.343262,0.2678189,677.0739
Grade01,S,F5,886.9742,60.1467,1631.405,0.2678189,0.227309,606.8528
Grade01,S,F1,2498.195,60.1287,1819.079,1.101828,0.7267886,799.5943
Grade01,S,F2,2358.475,60.1287,1771.014,0.7267886,0.4693505,757.1725
Grade01,S,F3,1706.094,60.1287,1728.378,0.4693505,0.3429511,616.476
Grade01,S,F4,1364.907,60.1287,1683.787,0.3429511,0.2693262,677.0739
Grade01,S,F5,975.4152,60.1287,1637.56,0.2693262,0.2275835,606.8528
Grade01,S,F1,2842.675,59.3891,1830.43,1.098234,0.6574663,799.5943
Grade01,S,F2,2610.216,59.3891,1782.487,0.6574663,0.3939343,757.1725
Grade01,S,F3,1795.846,59.3891,1739.789,0.3939343,0.2758687,616.476
Grade01,S,F4,1470.897,59.3891,1693.496,0.2758687,0.2120311,677.0739
Grade01,S,F5,1098.844,59.3891,1645.677,0.2120311,0.1761563,606.8528
Grade01,N,F1,1621.394,42.6775,1829.296,0.9991512,0.6871251,801.1063
Grade01,N,F2,1669.338,42.6775,1775.989,0.6871251,0.4595186,755.1846
Grade01,N,F3,1072.322,42.6775,1728.905,0.4595186,0.3483066,634.2133
Grade01,N,F4,887.7961,42.6775,1679.401,0.3483066,0.2812301,665.8711
Grade01,N,F5,652.5338,42.6775,1630.395,0.2812301,0.2399004,596.3642
Grade01,N,F1,1992.659,42.805,1844.485,0.9966038,0.5947127,801.1063
Grade01,N,F2,2064.608,42.805,1794.567,0.5947127,0.3577901,755.1846
Grade01,N,F3,1343.907,42.805,1751.713,0.3577901,0.2516925,634.2133
